particle_id,class,length_nm,width_nm,aspect_ratio,eccentricity,area_nm2,centroid_x,centroid_y
113,rod,11.78,5.85,2.013,0.868,52.94,405.4,125.5
114,rod,11.94,5.88,2.03,0.87,42.47,327.0,120.9
115,reject,11.7,8.48,1.38,0.689,76.25,422.8,134.1
116,rod,16.31,5.73,2.848,0.936,60.05,374.1,135.3
117,reject,10.11,5.4,1.873,0.845,29.63,313.8,132.5
118,reject,13.37,9.16,1.46,0.729,74.86,500.9,139.9
119,reject,11.38,7.63,1.491,0.742,61.43,465.2,137.4
120,reject,8.43,5.28,1.595,0.779,31.6,295.1,139.8
121,reject,9.9,7.02,1.412,0.706,48.4,343.4,146.9
122,reject,11.26,7.61,1.479,0.737,63.21,440.2,143.6
123,reject,8.84,5.48,1.612,0.784,32.99,421.3,152.0
124,reject,8.67,5.57,1.556,0.766,32.59,301.9,153.3
125,reject,9.02,5.4,1.67,0.801,36.94,436.0,159.1
126,reject,13.02,8.68,1.5,0.745,84.35,457.6,154.8
127,reject,13.95,9.69,1.44,0.72,91.06,483.4,167.1
128,reject,13.54,8.79,1.539,0.76,72.1,431.2,170.9
129,reject,10.95,7.84,1.398,0.699,60.25,405.0,168.5
130,reject,17.55,11.14,1.576,0.773,135.11,451.2,181.4
131,reject,12.82,7.69,1.667,0.8,73.28,470.8,179.7
132,dot,8.7,6.69,1.301,0.64,40.1,414.3,183.7
133,reject,12.73,7.23,1.76,0.823,56.69,339.5,184.5
134,reject,16.51,10.24,1.613,0.784,112.99,493.6,188.9
135,rod,12.19,6.22,1.961,0.86,54.72,463.6,203.4
136,rod,11.99,5.91,2.03,0.87,51.75,448.2,206.7
137,dot,8.18,7.43,1.101,0.418,35.16,357.0,208.9
138,reject,12.54,7.13,1.76,0.823,63.01,475.7,212.7
139,dot,8.26,6.29,1.314,0.649,36.35,371.8,217.9
140,reject,9.16,6.4,1.432,0.716,43.65,491.1,223.8
141,dot,7.89,6.46,1.222,0.575,33.38,502.3,233.1
142,reject,9.25,5.86,1.578,0.774,32.4,499.8,257.5
143,rod,11.39,5.86,1.944,0.858,48.2,175.6,234.8
144,dot,8.26,6.76,1.223,0.575,40.89,187.6,249.5
145,reject,8.23,5.77,1.426,0.713,29.63,197.8,275.4
146,reject,7.86,5.22,1.507,0.748,29.83,63.6,303.8
147,rod,9.34,4.36,2.141,0.884,30.81,110.1,440.6
148,rod,11.79,3.91,3.012,0.943,34.77,159.1,439.3
