particle_id,class,length_nm,width_nm,aspect_ratio,eccentricity,area_nm2,centroid_x,centroid_y
195,rod,13.59,4.46,3.045,0.945,32.99,455.9,375.0
196,rod,10.04,3.42,2.936,0.94,24.3,29.2,372.8
197,rod,10.66,3.33,3.199,0.95,25.09,94.6,369.0
198,reject,16.1,11.14,1.446,0.722,77.83,238.7,376.0
199,rod,12.69,3.77,3.363,0.955,33.19,486.2,373.1
200,rod,12.79,4.43,2.89,0.938,33.38,111.3,378.4
201,rod,9.23,3.41,2.709,0.929,20.94,177.0,374.0
202,reject,7.64,4.66,1.639,0.792,19.36,261.2,374.2
203,rod,10.95,3.35,3.266,0.952,26.67,353.2,377.7
204,rod,13.88,3.28,4.226,0.972,31.41,34.8,387.5
205,rod,13.29,4.27,3.114,0.947,34.96,92.0,389.8
206,rod,13.66,3.53,3.868,0.966,35.16,200.0,390.0
207,rod,13.6,3.78,3.599,0.961,30.42,215.5,391.3
208,rod,13.11,3.41,3.844,0.966,31.6,295.1,384.7
209,rod,12.19,3.41,3.579,0.96,27.06,77.0,384.2
210,rod,12.57,3.9,3.22,0.951,35.36,447.0,391.9
211,rod,14.52,5.03,2.889,0.938,38.91,481.1,387.9
212,rod,8.62,3.65,2.358,0.906,22.72,187.5,390.7
213,rod,10.86,3.02,3.597,0.961,22.72,45.8,391.8
214,rod,13.91,3.98,3.491,0.958,35.36,419.5,394.2
215,rod,18.52,5.7,3.247,0.951,48.99,152.7,392.1
216,reject,10.94,7.28,1.503,0.747,32.59,354.4,397.8
217,rod,10.19,3.12,3.269,0.952,24.1,225.4,403.3
218,reject,8.25,4.98,1.658,0.798,26.27,179.1,402.3
219,rod,10.43,3.06,3.411,0.956,21.14,59.6,404.3
220,rod,14.73,3.61,4.082,0.97,36.94,298.0,407.5
221,rod,8.63,3.72,2.318,0.902,23.51,311.5,402.5
222,rod,24.63,4.99,4.937,0.979,59.26,133.6,412.6
223,rod,16.86,4.36,3.866,0.966,42.67,386.6,411.6
224,rod,7.27,3.11,2.335,0.904,17.58,101.5,403.8
225,rod,13.57,4.07,3.335,0.954,35.36,328.9,411.3
226,rod,10.78,3.48,3.098,0.946,26.47,117.3,409.0
227,rod,23.9,8.63,2.77,0.933,88.69,427.2,422.2
228,rod,13.87,4.43,3.134,0.948,36.94,156.7,412.4
229,rod,9.1,4.23,2.154,0.886,26.27,275.0,408.8
230,rod,11.25,3.38,3.324,0.954,22.72,66.6,414.4
231,rod,14.12,3.29,4.288,0.972,32.79,39.9,413.9
232,reject,18.12,9.82,1.845,0.84,74.47,194.5,426.8
233,rod,13.96,3.72,3.753,0.964,35.16,375.2,419.2
234,rod,11.33,3.73,3.037,0.944,29.23,408.6,415.9
235,rod,9.97,3.73,2.672,0.927,24.49,484.8,414.3
236,rod,13.77,3.71,3.709,0.963,34.77,445.8,416.5
237,rod,10.22,2.92,3.5,0.958,21.53,10.2,420.6
238,rod,15.81,4.23,3.74,0.964,38.52,298.7,421.1
239,rod,17.28,5.41,3.191,0.95,47.21,249.0,431.9
240,rod,21.47,6.86,3.13,0.948,70.12,457.7,430.2
241,rod,12.45,4.78,2.605,0.923,29.63,333.3,422.6
242,rod,14.7,3.49,4.214,0.971,33.58,175.2,428.4
243,rod,10.11,3.37,3.0,0.943,24.69,210.0,427.0
244,rod,10.38,5.11,2.029,0.87,33.19,502.0,430.0
245,rod,13.48,3.79,3.563,0.96,28.25,270.7,430.3
246,rod,14.87,4.45,3.342,0.954,40.89,351.0,427.9
247,reject,8.37,5.11,1.638,0.792,22.91,40.1,429.9
248,rod,9.61,3.08,3.12,0.947,20.74,76.9,430.4
249,rod,9.62,3.58,2.692,0.928,24.1,109.1,434.0
250,rod,11.94,3.06,3.907,0.967,23.51,65.5,437.8
251,rod,13.68,4.89,2.797,0.934,36.54,293.9,440.6
252,rod,13.22,4.31,3.069,0.945,32.2,411.9,442.1
253,rod,11.62,3.15,3.691,0.963,25.28,123.6,443.3
254,rod,13.0,4.8,2.705,0.929,33.78,361.7,443.4
255,rod,9.5,3.84,2.477,0.915,24.49,101.3,445.5
256,rod,12.93,3.32,3.901,0.967,26.67,134.8,450.9
257,rod,9.99,3.4,2.943,0.941,25.09,310.5,444.5
